,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,tool,object,vegetable,measure,animal,mean
biscuit,0.0032106378782975364,0.0,0.0,0.0,0.0,0.0033279520514085835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046704213783615143
hackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squash,0.0014074823409762937,0.0,0.0012335965513661602,0.0,0.0,0.0014360344794374853,0.0,0.0,0.0,0.0,0.0014316613189066796,0.0013599402194684627,0.0,0.0,0.0004906224935825058
candy,0.0032917969085305655,0.0,0.0,0.0,0.0,0.0034556367281577413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004819595454777362
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.012048847742628868,0.0,0.010998899704898247,0.015644603802393995,0.0,0.012298370190896583,0.0,0.017761250153318257,0.0,0.0,0.012816956428844293,0.0,0.0,0.0,0.005826352001641446
tabasco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.0015202089004281532,0.0,0.0014851284046545434,0.0,0.0,0.0015412704585340987,0.0,0.0,0.0,0.0,0.0015127164762371392,0.001947715832004712,0.0,0.0,0.000571931433704189
scallop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.003068144938344781,0.0,0.0030553358572720625,0.0,0.0,0.0031077496783878146,0.0,0.0,0.0,0.0,0.0031108876230464097,0.004012912165793687,0.004067157051903237,0.0,0.0014587276653391424
cucumber,0.019866149033166233,0.0,0.01973364533948604,0.0,0.0,0.019994605285313407,0.0,0.0,0.0,0.0,0.019742716128732987,0.025089426223948462,0.0,0.0,0.007459038715046224
lemon,0.0038123103729435577,0.0,0.0037146966203691137,0.0036314726208939354,0.0,0.0038069591102102766,0.0,0.0,0.0,0.0,0.003731230936285705,0.0,0.0,0.0,0.0013354764043358991
pork,0.000664046881298472,0.0,0.0,0.0,0.0,0.0006823556383829209,0.0,0.0,0.0,0.0,0.0,0.0,0.0009463194019412904,0.0,0.0001637658515444774
bacon,0.0003096608876912454,0.0,0.0,0.0,0.0,0.00031508944568836247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.462502381282913e-05
soybean,0.00023443735679551196,0.0,0.00022796984039463047,0.00023724683398684607,0.0,0.00024292972599718537,0.0,0.0,0.0,0.0,0.0002397630204853241,0.00030418928827613935,0.0,0.0,0.00010618114756683124
edda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0014181739993547086,0.0,0.0,0.0,0.0,0.0014487709221844415,0.0,0.0015688724707743264,0.0,0.0,0.0,0.0,0.0,0.0,0.00031684409945096265
broccoli,0.0027485160255427744,0.0,0.0029331257338935397,0.0,0.0,0.002846903165646754,0.0,0.0,0.0,0.0,0.00285491315666236,0.004186646832100502,0.0,0.0,0.0011121503509889951
vinaigrette,0.0033749864179793685,0.0,0.0,0.0,0.0,0.0033965170796904326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048367882126212864
chipotle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sardine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.003784577054813331,0.0,0.004009313095182056,0.0,0.0,0.003795052736410475,0.0,0.0,0.0,0.0,0.0038366264826326713,0.005627880984084056,0.0,0.0,0.001503817882365899
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sorrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.002009057748264936,0.0,0.001961387741810124,0.0,0.0,0.002034347733631803,0.0,0.0,0.0,0.0,0.00197708536716914,0.0,0.0,0.0,0.0005701341850625717
wintergreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
olive,0.0030579323616020866,0.0,0.0030977165700655424,0.0029884633052921707,0.0,0.00314079746008663,0.0,0.003368556210245792,0.0,0.0,0.003139162791321084,0.0,0.0,0.0,0.0013423306213295218
pulse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.0038935279268076132,0.0,0.0,0.0,0.0,0.003946308591944225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005599883227679885
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
