,animal,tool,no-cat,measure,relation,object,weapon,communication,vehicle,food,all,cutlery,mean
fence,0.0,0.0,0.0,0.0,0.0,0.0025190747762171566,0.0,0.0,0.0,0.0,0.0025190747762171566,0.0,0.00041984579603619276
bedstead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beam,0.0,0.0,0.0,0.0,0.0,0.0012653905618898607,0.0,0.0010189343335361848,0.0,0.0,0.0012653905618898607,0.0,0.00029580962144299224
flute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chamfer,0.0,0.0,0.0,0.0,0.0,0.5081230018076848,0.0,0.0,0.0,0.0,0.5081230018076848,0.0,0.08468716696794747
brush,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pin,0.0,0.0,0.0,0.0,0.0,0.006875403900208005,0.0,0.006255245399522529,0.0,0.0,0.006875403900208005,0.0,0.001667171099994878
rope,0.0,0.0,0.0,0.0,0.0,0.0019562290664984026,0.0,0.0,0.0,0.0,0.0019562290664984026,0.0,0.0003260381777497338
noseband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crosshead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anchor,0.0,0.0,0.0,0.0,0.0,0.0015249028428359253,0.0,0.0,0.0,0.0,0.0015249028428359253,0.0,0.0002541504738059875
wire,0.0,0.0,0.0,0.0,0.0,0.0024512177847819637,0.0,0.0026231854992888617,0.0,0.0,0.0024512177847819637,0.0,0.0006271350890710658
cushion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saxophone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
staysail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cymbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuselage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trumpet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sword,0.0,0.0,0.0,0.0,0.0,0.0004849492123935953,0.0005910667810708521,0.0,0.0,0.0,0.0004849492123935953,0.0,0.00013008043382150357
pedal,0.0,0.0,0.0,0.0,0.0,0.003927985685581961,0.0,0.0038390898504206492,0.0,0.0,0.003927985685581961,0.0,0.0009745884351320477
wheelbarrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tappet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.0,0.0,0.0,0.003103638666668274,0.0,0.0,0.0,0.0,0.003103638666668274,0.0,0.0005172731111113791
pulley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cannon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
laptop,0.0,0.0,0.0,0.0,0.0,0.003474229998098042,0.0,0.0,0.0,0.0,0.003474229998098042,0.0,0.0005790383330163403
washtub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turnbuckle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strap,0.0,0.0,0.0,0.0,0.0,0.00403963526935597,0.0,0.0,0.0,0.0,0.00403963526935597,0.0,0.0006732725448926616
wheel,0.0,0.0,0.0,0.0,0.0,0.0013431687159129082,0.0,0.0,0.0014348741971273312,0.0,0.0013431687159129082,0.0,0.0003434343024127623
steerer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
screw,0.0,0.0,0.0,0.0,0.0,0.0006425159387422372,0.0,0.0,0.0,0.0,0.0006425159387422372,0.0,0.00010708598979037287
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breechblock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.0,0.0033970367620136336,0.0,0.0,0.0,0.0,0.0033970367620136336,0.0,0.0005661727936689389
scabbard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bagpipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carabiner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
