,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
peach,0.02320198724952615,0.0,0.0,0.022679425935712302,0.028915980209599592,0.030358811234120524,0.024544973901390824,0.0,0.0,0.0,0.025045866998359357,0.0,0.0,0.0,0.01105336039490777
grapefruit,0.046393869757547036,0.0,0.0,0.046808427341664585,0.04863958897594486,0.0,0.04703566764524443,0.0,0.0,0.0,0.04752004822483782,0.0,0.0,0.0,0.016885542996088482
honeydew,0.008915085340291848,0.0,0.0,0.0,0.009433102349834908,0.0,0.008950542383139965,0.0,0.0,0.0,0.009156140249588988,0.0,0.0,0.0,0.0026039193087754077
corn,0.01845171317758356,0.0,0.0,0.0192474045785117,0.025203537221908313,0.0,0.019381617906640912,0.0,0.02258395352788186,0.0,0.020168496701914524,0.0,0.0,0.0,0.00893119450817435
lime,0.05928637183887093,0.0,0.0,0.06295217731053933,0.061100360635522676,0.0,0.0597637575879863,0.0,0.05411238161528268,0.0,0.06020234408510085,0.0,0.0,0.0,0.0255298137909502
apricot,0.016133829164413412,0.0,0.0,0.01627638479979439,0.01878362985945007,0.0,0.01677354698631279,0.0,0.0,0.0,0.016971722086623703,0.0,0.0,0.0,0.006067079492613883
bean,0.006829469283827852,0.0,0.0,0.0067567381406201475,0.008105409168996441,0.0,0.007030788663550913,0.0,0.0,0.0,0.007257746584627602,0.006092138177652214,0.0,0.0,0.0030051635728053695
squash,0.014490551110271688,0.0,0.0,0.013689708027037097,0.0,0.0,0.014921700373256228,0.0,0.0,0.0,0.015210621354580442,0.014842339684688444,0.0,0.0,0.005225351467845279
candy,0.004243463244868911,0.0,0.0,0.0,0.0,0.0,0.004454763862703023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006213019362551381
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pawpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cream,0.009178515197196726,0.0,0.0,0.0,0.0,0.0,0.00913485406018254,0.0,0.0,0.0,0.009115877249832097,0.0,0.0,0.0,0.0019592318933722404
mussel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.014136064559818695,0.0,0.0,0.01428914167198947,0.0,0.0,0.014198127344829569,0.0,0.0,0.0,0.014409178739541137,0.015065233116550449,0.014136804343695105,0.0,0.006159610698316031
mustard,0.006561217757670872,0.0,0.0,0.006318214518450405,0.0,0.0,0.006536055240135535,0.0,0.0,0.0,0.0064330469000839635,0.0066839650350383716,0.0,0.0,0.0023237499608127965
oregano,0.10832760607961386,0.0,0.0,0.11163745612513734,0.0,0.0,0.10752144175144109,0.0,0.0,0.0,0.10964117456713149,0.0,0.0,0.0,0.031223405608808843
chile,0.0019856519171582545,0.0,0.0,0.0,0.0,0.0,0.0020308074696295075,0.0,0.0,0.0,0.0,0.0020527393096734297,0.0,0.0,0.0004335141926043708
donut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0036116851303482295,0.0,0.0,0.003788726810805596,0.0,0.0,0.003601926490346838,0.0,0.0,0.0,0.0037080700698395174,0.004252134696732373,0.0,0.0,0.0013544673712908967
blackheart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chocolate,0.004543590914200729,0.0,0.0,0.0,0.0,0.0,0.004553202517706793,0.0,0.005594220870423458,0.0,0.0,0.0,0.0,0.0,0.001049358164452213
fennel,0.026254040612905434,0.0,0.0,0.02789991121341914,0.0,0.0,0.026378136443719252,0.0,0.0,0.0,0.027397096460150174,0.030328559142920063,0.0,0.0,0.009875553133793862
emperor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheese,0.025408432358676458,0.0,0.0,0.024987328386510577,0.0,0.0,0.025352197923862715,0.0,0.0,0.0,0.025266490176274303,0.0,0.0,0.0,0.007215317774666004
cilantro,0.1462813564430431,0.0,0.0,0.1473273632639249,0.0,0.0,0.145345624261733,0.0,0.0,0.0,0.14712655216772438,0.0,0.0,0.0,0.04186292115260182
jack,0.00046199544687275244,0.0010288073346297864,0.0,0.0,0.0005036149636047969,0.0005849454272536427,0.00047233569344658937,0.000732215563305185,0.0007279533390035091,0.0,0.00046863617629549744,0.0,0.0007415498393008112,0.0005445251798348972,0.00044761278311053346
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grain,0.003123381750393464,0.0,0.0,0.003131085107075776,0.0031645365462752077,0.0,0.0031562501531016886,0.0,0.004052070012308055,0.0,0.0032210508461883924,0.0,0.003927752535986623,0.0,0.0016982947822378005
iceberg,0.0015537648182477417,0.0,0.0,0.0,0.0,0.0,0.0015785906270233854,0.0,0.0,0.0,0.0015695395572017307,0.0014770462008813908,0.0,0.0,0.00044135294309673206
garlic,0.025460140802993792,0.0,0.0,0.02622606830112466,0.0,0.0,0.025347221423926286,0.0,0.0,0.0,0.025824135727297682,0.0,0.0,0.0,0.007346969018238744
rice,0.0007316009928569125,0.0,0.0,0.000766458730572574,0.0,0.0,0.0007309142858486943,0.0,0.0,0.0,0.0007827616197845623,0.0,0.0,0.0,0.00021512397350448162
cinnamon,0.006593518206793891,0.0,0.0,0.006853063273855811,0.0,0.0,0.0065835681494807105,0.0,0.0,0.0,0.0067050095805317594,0.0,0.0,0.0,0.0019096542293330122
artichoke,0.009909287376889148,0.0,0.0,0.009419941924811215,0.0,0.0,0.009856910062948261,0.0,0.0,0.0,0.009789079927523148,0.01061026501227246,0.0,0.0,0.0035418203074603022
cookie,0.0021327621779511858,0.0,0.0029773756190521767,0.0,0.0,0.0,0.002120773111380596,0.0,0.0,0.0,0.0021242209117616063,0.0,0.0,0.0,0.000668223701438969
windfall,0.0006794243508801998,0.0,0.0,0.0,0.0006759604798852209,0.0,0.0006941982380783981,0.0,0.0,0.0,0.0006800663743889299,0.0,0.0,0.0,0.00019497496023091065
chip,0.0010657084947802943,0.0,0.0,0.0,0.0,0.0,0.001084549424498568,0.0,0.001497784886501998,0.0,0.0010989085489756434,0.0,0.0,0.0,0.00033906795391117886
rye,0.003451974944050539,0.0,0.0,0.003027811128672428,0.003231264072608418,0.0,0.003486697154716997,0.0,0.00455828303386154,0.0,0.0034118635103252007,0.0,0.0,0.0,0.0015119924174453656
carrot,0.010529617986943686,0.0,0.0,0.010481996149888831,0.0,0.0,0.010606291125926424,0.0,0.0,0.0,0.01057547658081943,0.010433400308646252,0.0,0.0,0.0037590558680160443
cereal,0.009288887029139947,0.0,0.0,0.009053624461136162,0.0,0.0,0.00932599206341279,0.0,0.0,0.0,0.00928199096272883,0.0,0.0,0.0,0.0026393210368869805
butter,0.003757930927734934,0.0,0.0,0.0,0.0,0.0,0.0037330733993073914,0.0,0.0,0.0,0.0037759597142462153,0.0,0.0,0.0,0.0008047831458063244
truffle,0.034279091843661375,0.0,0.0,0.0,0.0,0.0,0.034295971532515235,0.0,0.0,0.0,0.03435232638843039,0.032629635343969884,0.0,0.0,0.009682644650612634
cauliflower,0.006188240594405964,0.0,0.0,0.0062630213047415745,0.0,0.0,0.006204841248299876,0.0,0.0,0.0,0.0063792688662983165,0.007195149152581747,0.0,0.0,0.0023021800833091057
kale,0.0033626717185812065,0.0,0.0,0.0036652440521009817,0.0,0.0,0.0033645106922630917,0.0,0.0,0.0,0.003557874242371288,0.004561345284645173,0.006238892915286228,0.0,0.0017678956360891406
cake,0.006703613217213385,0.0,0.0,0.0,0.0,0.0,0.006739108702964354,0.0,0.0,0.0,0.006622747577519176,0.0,0.0,0.0,0.0014332478212640653
bulgur,0.005119200605687769,0.0,0.0,0.0,0.0,0.0,0.005126606668826732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007318433767510358
pepperoni,0.005403376439897653,0.0,0.0,0.0,0.0,0.0,0.005395114531114446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007713207836437212
soy,0.004420392287181314,0.0,0.0,0.00454473887251907,0.004490299739466796,0.0,0.0043828842314969675,0.0,0.0,0.0,0.004529498650319065,0.004233770141521947,0.0,0.0,0.001900113137321797
potato,0.004864495392487278,0.0,0.0,0.00483658984587595,0.0,0.0,0.004879339035798214,0.0,0.0,0.0,0.004874756321829291,0.005000466266806326,0.0,0.0,0.0017468319187712183
biscuit,0.002605467738406294,0.0,0.0,0.0,0.0,0.0,0.0026067016439018896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00037229781302201316
bread,0.03373498068330012,0.0,0.0,0.0,0.0,0.0,0.03351238025090254,0.0,0.0,0.0,0.0,0.0,0.03609610539671112,0.0,0.007381676166493842
fenugreek,0.02578644197198662,0.0,0.0,0.027030650692867503,0.0,0.0,0.025805235028153923,0.0,0.0,0.0,0.026670979356074608,0.0,0.0,0.0,0.007520950503505904
mast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calabash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mangold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.0,0.0,0.009734209527178274,0.009609141521725758,0.0,0.009328920527339026,0.0,0.0,0.0,0.009619235816995022,0.0,0.0,0.0,0.0027351076709455774
peanut,0.0,0.0,0.0,0.001959596273672223,0.001952086890979054,0.0,0.0019391130796933755,0.0,0.0,0.0,0.0019720050074047337,0.0,0.0,0.0,0.000558771517982099
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistachio,0.0,0.0,0.0,0.007490589447250495,0.007610425101024378,0.0,0.007216332350710441,0.0,0.0,0.0,0.0073480994047156,0.0,0.0,0.0,0.002118960450264351
cumin,0.0,0.0,0.0,0.00642321785533434,0.006045091304135398,0.0,0.006151663338631043,0.0,0.0,0.0,0.006285727864463545,0.0,0.0,0.0,0.0017789785973260231
filbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit,0.0,0.0,0.0,0.0,0.18049066718076337,0.0,0.15940315924242088,0.0,0.0,0.0,0.16275697440244957,0.0,0.0,0.0,0.03590362863040242
cob,0.0,0.0,0.0,0.0,0.024416748714379936,0.021965616846733746,0.019571047275325878,0.021965616846733746,0.0,0.0,0.020614639052453764,0.0,0.0,0.02237556766586043,0.009350659742963393
acorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,0.0,0.0,0.0,0.0,0.0015405353021155919,0.0,0.0014382698627922394,0.0,0.002079910183008772,0.0,0.0014751044606474502,0.0,0.0,0.0,0.0004667014148974324
pod,0.0,0.0,0.0,0.0,0.003752269657295915,0.0,0.003831158450336703,0.0,0.0,0.0,0.0039154123752781315,0.0,0.0,0.0,0.0008213457487793392
cottonseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike,0.0,0.0,0.0,0.0,0.02168162410548784,0.0,0.021182544958074534,0.0,0.0,0.0,0.021343786913070355,0.0,0.0,0.0,0.004586282569759481
nut,0.0,0.0,0.0,0.0,0.005684285961846685,0.0,0.0055193851679744416,0.0,0.0,0.0,0.005656316987408203,0.0,0.006548739027312035,0.0,0.001672051938895812
linseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goober,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rumor,0.0,0.0,0.0,0.0,0.0,0.0,0.002265212951398777,0.0,0.0,0.0026381844777958415,0.0,0.0,0.0,0.0,0.00035024267351390135
cashews,0.0,0.0,0.0,0.0,0.0,0.0,0.011593270808065818,0.0,0.0,0.011125238454034611,0.0,0.0,0.0,0.0,0.001622750661578602
emotion,0.0,0.0,0.0,0.0,0.0,0.0,0.0028186321443100324,0.0,0.0,0.0038987789881623327,0.0,0.0,0.0,0.0,0.0004798150808908832
flavor,0.0,0.0,0.0,0.0,0.0,0.0,0.04895522694452275,0.0,0.0,0.050183044531532175,0.0,0.0,0.0,0.0,0.007081305105432494
