,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
cinnamon,0.0051806214481951995,0.0,0.0,0.0052072383717903245,0.0,0.0,0.00523180229089682,0.0,0.0,0.0,0.005196812821368017,0.0,0.0,0.0,0.0014868910665893115
artichoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookie,0.0004265524355902372,0.0,0.0005954751238104354,0.0,0.0,0.0,0.00042899234521013766,0.0,0.0,0.0,0.00041908556097027146,0.0,0.0,0.0,0.0001335789618272201
windfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrot,0.009871516862759708,0.0,0.0,0.00950327594435253,0.0,0.0,0.0100568079977447,0.0,0.0,0.0,0.009780121423417285,0.010381084351796107,0.0,0.0,0.0035423433271478807
cereal,0.0024770365411039856,0.0,0.0,0.002334797804415138,0.0,0.0,0.002515296071497328,0.0,0.0,0.0,0.002441647111181913,0.0,0.0,0.0,0.0006977698234427402
butter,0.00038542881310101886,0.0,0.0,0.0,0.0,0.0,0.0003872462778487389,0.0,0.0,0.0,0.0003820284962091995,0.0,0.0,0.0,8.247882765421123e-05
truffle,0.0026368532187431826,0.0,0.0,0.0,0.0,0.0,0.0026682412654215892,0.0,0.0,0.0,0.0026066686189631697,0.002663878672516386,0.0,0.0,0.0007554029839745949
cauliflower,0.001547060148601491,0.0,0.0,0.0015141955496062454,0.0,0.0,0.0015689027414582466,0.0,0.0,0.0,0.0015732000004155234,0.0019090855155452057,0.0,0.0,0.0005794602825447651
kale,0.0008406679296453016,0.0,0.0,0.0008861372110790014,0.0,0.0,0.0008507212090564733,0.0,0.0,0.0,0.0008774121105236926,0.001210259583179306,0.0019077654091680652,0.0,0.0004694973894751315
cake,0.015576042475289924,0.0,0.0,0.0,0.0,0.0,0.01583711151040269,0.0,0.0,0.0,0.015179567551884954,0.0,0.0,0.0,0.0033280515383983973
bulgur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni,0.008105064659846478,0.0,0.0,0.0,0.0,0.0,0.008184973287430284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011635741390911974
soy,0.0018201615300158355,0.0,0.0,0.0018097397323619605,0.001814680676141611,0.0,0.0018253008531975599,0.0,0.0,0.0,0.0018398070372819123,0.0018502140187369055,0.0,0.0,0.0007828502748382703
potato,0.002189022926619275,0.0,0.0,0.002104795183409798,0.0,0.0,0.002220745793513741,0.0,0.0,0.0,0.002163906280620437,0.0023881884215718524,0.0,0.0,0.0007904756146953646
biscuit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bread,0.0010824057973251376,0.0,0.0,0.0,0.0,0.0,0.0010875275251734347,0.0,0.0,0.0,0.0,0.0,0.0014166005949800616,0.0,0.00025618099410561673
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calabash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mangold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.0,0.0,0.002353416350959745,0.002357764161272085,0.0,0.002358830533206408,0.0,0.0,0.0,0.0023722125698825993,0.0,0.0,0.0,0.0006744445439514884
peanut,0.0,0.0,0.0,0.0007288720969648064,0.0007368881298058035,0.0,0.0007543191381313158,0.0,0.0,0.0,0.000748182744760394,0.0,0.0,0.0,0.00021201872211873714
groundnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistachio,0.0,0.0,0.0,0.00241464231677179,0.0024897940521424336,0.0,0.0024328795651096025,0.0,0.0,0.0,0.002416166121611739,0.0,0.0,0.0,0.0006966772896882547
cumin,0.0,0.0,0.0,0.0007764629415626701,0.000741632308998828,0.0,0.000777728316510185,0.0,0.0,0.0,0.0007750658646187467,0.0,0.0,0.0,0.00021934924512074502
filbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,0.0,0.0,0.0,0.004111679898993947,0.00418950285492218,0.0,0.004215582718714467,0.0,0.0,0.0,0.00413858327492477,0.0,0.0,0.0,0.001189667767682526
fruit,0.0,0.0,0.0,0.0,0.019463863933762433,0.0,0.017361016517090367,0.0,0.0,0.0,0.01730109479230195,0.0,0.0,0.0,0.003866141088796768
cob,0.0,0.0,0.0,0.0,0.0026532968519956323,0.0,0.0021479095563539867,0.0,0.0,0.0,0.002208174606366751,0.0,0.0,0.0,0.0005006700724797407
acorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kernel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cottonseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.0,0.0,0.0,0.005578939884676466,0.0,0.005582336871920295,0.0,0.0,0.0,0.005579647494685037,0.0,0.008010047910496405,0.0,0.0017679265829841574
linseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goober,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rumor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cashews,0.0,0.0,0.0,0.0,0.0,0.0,0.005862749303449472,0.0,0.0,0.00781806723326443,0.0,0.0,0.0,0.0,0.00097720118119385
emotion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flavor,0.0,0.0,0.0,0.0,0.0,0.0,0.0052915285897243616,0.0,0.0,0.007537612622197663,0.0,0.0,0.0,0.0,0.0009163672294230017
