,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.0004143570561150282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003193134049226928,0.0,0.0,0.0,0.0,0.00031652784245947966,0.0,7.001322023314671e-05
bear,0.0017642217274952217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015701560474445629,0.0,0.0,0.0,0.0,0.0015922610964814667,0.0,0.00032844259142808345
jaguar,0.0021108901574484213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020523288531050033,0.0,0.0,0.0,0.0,0.002041804565196075,0.0,0.0004136682383833
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bushbaby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raven,0.0009478492182637016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007520167493829178,0.000836974774098419,0.0,0.0,0.0,0.0007573966255424408,0.0,0.00021961582448583195
goldfish,0.005090969298973796,0.0,0.0,0.0,0.0,0.0,0.0,0.006974024001147521,0.004350537801733569,0.0,0.0,0.0,0.0,0.0045223660492493215,0.0,0.001395859810073614
crossbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.01850965268170247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016785565355907365,0.0,0.0,0.0,0.0,0.016946275175402384,0.0,0.0034827662142008146
crab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.0015523494522837824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013570858783542015,0.0013171662676685811,0.0,0.0,0.0,0.0014276730321543033,0.0,0.00037695164203072464
flea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lizard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caterpillar,0.0018928806442743524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018452307663375485,0.0,0.0,0.0,0.0,0.0018527964479439496,0.0,0.00037272719057039003
tortoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
