,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0006218458472664804,0.0005736773450786467,0.0004367786589297113,0.0,0.0,0.0,0.0,0.0,0.00043449592592303065,0.0,0.0,0.0,0.0,0.00013778651847985794
chameleon,0.0,0.0,0.09984717378345824,0.0,0.10240513544942559,0.0,0.0,0.0,0.0,0.0,0.06948715281546694,0.0,0.0,0.07663964832815154,0.0,0.023225274025100152
wand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cat,0.0,0.0,0.0029510862811897086,0.003253235757238026,0.002407660148094549,0.004195511226962305,0.0,0.0,0.0,0.0,0.0023956273466677882,0.0,0.0,0.0037704562158564856,0.0,0.001264905131733924
balloon,0.0,0.0,0.0,0.001775282830910943,0.001281487263877738,0.0,0.0,0.0,0.0,0.0,0.0012878671294247175,0.0,0.0,0.0,0.0,0.00028964248161422653
car,0.0,0.0,0.0,0.0025207097602674275,0.002007991200520128,0.0,0.0,0.0,0.0,0.0,0.0019991562146135064,0.0,0.0,0.0,0.0,0.00043519047836007075
jeep,0.0,0.0,0.0,0.0018932369562204608,0.0012737422426082052,0.0,0.0,0.0,0.0,0.0,0.0013419595778114252,0.0,0.0,0.0,0.0,0.00030059591844267274
ambulance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limousine,0.0,0.0,0.0,0.0012163085273703838,0.0007591435588840003,0.0,0.0,0.0,0.0,0.0,0.0007524988700358776,0.0,0.0,0.0,0.0,0.00018186339708601746
glass,0.0,0.0,0.0,0.0,0.006447301634485032,0.0,0.0,0.0,0.0,0.0,0.006469132882894433,0.0,0.007278393693900152,0.0,0.0,0.0013463218807519745
fox,0.0,0.0,0.0,0.0,0.002810318331332218,0.0035534755553100483,0.0037242833130024067,0.0,0.0,0.0,0.002756848427708697,0.0,0.0,0.0030336903462099205,0.0,0.0010585743982375528
clothing,0.0,0.0,0.0,0.0,0.009389374532815,0.0,0.0,0.0,0.0,0.0,0.00937615067944253,0.0,0.0,0.0,0.0,0.001251035014150502
fruit,0.0,0.0,0.0,0.0,0.005582637127430871,0.0,0.0,0.0,0.0,0.0,0.005594341280532905,0.005604011539489474,0.0,0.0,0.0,0.00111873266316355
brick,0.0,0.0,0.0,0.0,0.007225950135763628,0.0,0.0,0.0,0.0,0.0,0.007272295574623592,0.0,0.0,0.0,0.0,0.0009665497140258147
oven,0.0,0.0,0.0,0.0,0.001644385930194228,0.0,0.0,0.0,0.0,0.0,0.00163200027858474,0.0,0.0,0.0,0.0,0.00021842574725193121
dress,0.0,0.0,0.0,0.0,0.012873779966644456,0.0,0.0,0.0,0.0,0.0,0.012937572707204387,0.0,0.0,0.0,0.0,0.001720756844923256
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ring,0.0,0.0,0.0,0.0,0.003242860528468513,0.0,0.0,0.0,0.0,0.0,0.003222485895360227,0.0,0.0,0.0,0.0,0.00043102309492191597
anger,0.0,0.0,0.0,0.0,0.0008835818915114761,0.0,0.0,0.0,0.0013757773060737344,0.0,0.0,0.0,0.0,0.0,0.0,0.0001506239465056807
flame,0.0,0.0,0.0,0.0,0.005166534700257327,0.0,0.0,0.0,0.007716038657606347,0.0,0.0,0.0,0.0,0.0,0.0,0.0008588382238575783
lip,0.0,0.0,0.0,0.0,0.022323907770747387,0.0,0.0,0.0,0.0,0.0,0.02200459936146601,0.0,0.0,0.0,0.0,0.0029552338088142263
pot,0.0,0.0,0.0,0.0,0.0005100636805325465,0.0,0.0006901473141566832,0.0,0.0,0.0,0.0004979916053202476,0.0,0.0010043065421135948,0.0,0.0,0.00018016727614153814
football,0.0,0.0,0.0,0.0,0.0013968888791199398,0.0,0.0,0.0,0.0,0.0,0.0014035190471349615,0.0,0.0,0.0,0.0,0.00018669386175032676
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leafs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
couch,0.0,0.0,0.0,0.0,0.003910386366229456,0.0,0.0037322962021564105,0.0,0.0,0.0,0.00391834105638674,0.0,0.0,0.0,0.0,0.0007707349083181737
barn,0.0,0.0,0.0,0.0,0.002575152871155276,0.0,0.0,0.0,0.0,0.0,0.002583830562467192,0.0,0.003082162288777507,0.0,0.0,0.000549409714826665
paint,0.0,0.0,0.0,0.0,0.0804979954957269,0.0,0.08814999359661907,0.0,0.0,0.0,0.0810142409390666,0.0,0.0,0.0,0.0,0.01664414866876084
lipstick,0.0,0.0,0.0,0.0,0.06972645671620893,0.0,0.0,0.0,0.0,0.0,0.07070784776713937,0.0,0.0,0.0,0.0,0.009362286965556554
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ink,0.0,0.0,0.0,0.0,0.06003973731611761,0.0,0.07171906495345812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008783920151305049
hair,0.0,0.0,0.0,0.0,0.07476097498667537,0.0,0.0,0.0,0.0,0.0,0.07510733220242051,0.0,0.08931185404876109,0.0,0.0,0.015945344082523797
clarinet,0.0,0.0,0.0,0.0,0.0021576997992989624,0.0,0.0,0.0,0.0,0.0,0.0021470477160595897,0.0,0.0,0.0,0.0,0.00028698316769057013
robin,0.0,0.0,0.0,0.0,0.0004060622836800473,0.0,0.0,0.0,0.0,0.0007319676435941252,0.0004203176342252874,0.0,0.0,0.0005115065437629423,0.0,0.00013799027368416016
