context,evidence_type,categories
shipping, ,no-cat
meeting, ,no-cat
reported, ,no-cat
sale, ,no-cat
miss, ,no-cat
public, ,no-cat
label, ,no-cat
diet, ,no-cat
cancer, ,no-cat
indonesia, ,no-cat
2006, ,no-cat
visits, ,no-cat
medical, ,no-cat
1978, ,no-cat
recorded, ,no-cat
president, ,no-cat
arriving, ,no-cat
fair, ,no-cat
lee, ,no-cat
trust, ,no-cat
audio, ,no-cat
moved, ,no-cat
facility, ,no-cat
berry, ,no-cat
route, ,no-cat
visited, ,no-cat
thailand, ,no-cat
stamp, ,no-cat
paid, ,no-cat
marble, ,no-cat
fish, ,no-cat
asia, ,no-cat
collapsed, ,no-cat
news, ,no-cat
investment, ,no-cat
heard, ,no-cat
independence, ,no-cat
happy, ,no-cat
fat, ,no-cat
joint, ,no-cat
golf, ,no-cat
oz, ,no-cat
met, ,no-cat
trip, ,no-cat
experience, ,no-cat
influential, ,no-cat
commented, ,no-cat
audience, ,no-cat
renamed, ,no-cat
content, ,no-cat
1990s, ,no-cat
150, ,no-cat
station, ,no-cat
sought, ,no-cat
2013, ,no-cat
swamp, ,no-cat
program, ,no-cat
filmed, ,no-cat
alley, ,no-cat
zoo, ,no-cat
regarding, ,no-cat
care, ,no-cat
beijing, ,no-cat
headquarters, ,no-cat
miller, ,no-cat
observed, ,no-cat
attended, ,no-cat
pond, ,no-cat
jackson, ,no-cat
300, ,no-cat
positive, ,no-cat
1975, ,no-cat
600, ,no-cat
jane, ,no-cat
52, ,no-cat
managing, ,no-cat
planning, ,no-cat
alliance, ,no-cat
1989, ,no-cat
didn, ,no-cat
programs, ,no-cat
crowd, ,no-cat
duo, ,no-cat
college, ,no-cat
ranks, ,no-cat
speech, ,no-cat
22, ,no-cat
sole, ,no-cat
jones, ,no-cat
jar, ,no-cat
tracy, ,no-cat
luck, ,no-cat
eve, ,no-cat
european, ,no-cat
centers, ,no-cat
steam, ,no-cat
revived, ,no-cat
dj, ,no-cat
sailing, ,no-cat
pop, ,no-cat
1894, ,no-cat
austin, ,no-cat
poems, ,no-cat
laura, ,no-cat
praised, ,no-cat
ocean, ,no-cat
rolling, ,no-cat
supply, ,no-cat
participating, ,no-cat
palms, ,no-cat
university, ,no-cat
boarding, ,no-cat
hire, ,no-cat
harold, ,no-cat
capsule, ,no-cat
vessels, ,no-cat
agreement, ,no-cat
1984, ,no-cat
egypt, ,no-cat
electric, ,no-cat
descent, ,no-cat
designated, ,no-cat
detective, ,no-cat
struggling, ,no-cat
spit, ,no-cat
1930s, ,no-cat
95, ,no-cat
chess, ,no-cat
retired, ,no-cat
clubs, ,no-cat
butcher, ,no-cat
ruby, ,no-cat
freeze, ,no-cat
operations, ,no-cat
hawaii, ,no-cat
houston, ,no-cat
kevin, ,no-cat
kelly, ,no-cat
jim, ,no-cat
