context,evidence_type,categories
eve,u,no-cat
european,NA,no-cat
centers,u,no-cat
steam,i,no-cat
revived,NA,no-cat
dj,NA,no-cat
sailing,u,no-cat
pop,u,no-cat
1894,NA,no-cat
austin,NA,no-cat
poems,NA,no-cat
laura,u,no-cat
praised,NA,no-cat
ocean,NA,no-cat
rolling,NA,no-cat
supply,u,no-cat
participating,NA,no-cat
palms,u,no-cat
university,u,no-cat
boarding,NA,no-cat
hire,NA,no-cat
harold,NA,no-cat
capsule,NA,no-cat
vessels,NA,no-cat
agreement,NA,no-cat
1984,NA,no-cat
egypt,NA,no-cat
electric,r,no-cat
descent,NA,no-cat
designated,NA,no-cat
detective,NA,no-cat
struggling,NA,no-cat
spit,NA,no-cat
1930s,NA,no-cat
95,u,no-cat
chess,NA,no-cat
retired,NA,no-cat
clubs,u,no-cat
butcher,NA,no-cat
ruby,NA,no-cat
freeze,NA,no-cat
operations,NA,no-cat
hawaii,NA,no-cat
houston,NA,no-cat
kevin,NA,no-cat
kelly,u,no-cat
jim,NA,no-cat
