,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
willow,0.0,0.0,0.0013168235465904929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001904699714034776,0.0,0.0,0.001883071303735833,0.00034030630429074014
fern,0.0,0.0,0.000713211253617055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009185993478240175,0.0,0.0,0.0009543879672360235,0.0001724132379118064
sycamore,0.0,0.0,0.0014917238832420838,0.0,0.0,0.0,0.0,0.0021370562090511098,0.0,0.0,0.0,0.002134607153269626,0.0,0.0,0.002206237418428141,0.0005313083109327307
shrub,0.0,0.0,0.003377310687385022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004545428036139135,0.0,0.0,0.004611230085146484,0.0008355979205780427
fenugreek,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buttercup,0.0,0.0,0.002176689140555766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024094007882523613,0.0,0.0,0.002378915758814108,0.000464333712508149
pumpkin,0.0,0.0,0.0015623002549094403,0.001598814505000435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001856820206524867,0.0,0.0015860919603632952,0.0018338602742377116,0.0005625258134023832
cheese,0.0,0.0,0.00833406105683144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009030971351963773,0.0,0.009320632230122496,0.009052616469565346,0.0023825520738988706
garlic,0.0,0.0,0.004637009229365009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004628731111681867,0.0,0.0051873848890246375,0.00464229466885378,0.0012730279932616864
rice,0.0,0.0,0.012788456086963496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014319489221317094,0.0,0.013177194098502328,0.01428041590302231,0.003637703687320348
beet,0.0,0.0,0.005761323998719691,0.005831606583864837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005875457497591519,0.0,0.005800717809887854,0.005876145727445135,0.0019430167745006024
cassava,0.0,0.0,0.01498473340545714,0.0,0.0,0.0,0.0,0.013380549542439904,0.0,0.0,0.0,0.015788119532143652,0.0,0.0,0.015570213439159887,0.003981574394613372
carrot,0.0,0.0,0.004125411546467379,0.004538911030445482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004918262705389649,0.0,0.004360953660222731,0.004892516784285279,0.0015224037151207012
galangal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.017893981034598588,0.0226454910632546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01889971340384706,0.0,0.020778079535045513,0.0189313593793353,0.006609908294405403
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.0,0.0,0.008175616809776928,0.008807324354711599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009262263510102736,0.0,0.00837162328411834,0.009254393414189654,0.0029247480915266175
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mushroom,0.0,0.0,0.0,0.009096016359552353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009015735774228324,0.0,0.0077008880277139305,0.009031144838998199,0.0023229190000328536
tank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028597751481774196,0.0,0.0,0.00030391337168220124,3.932605909999621e-05
bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.003135577774459407,0.0,0.0,0.0,0.0,0.0027276757845173727,0.0,0.0,0.0028263991127246203,0.0005793101781134267
night,0.0,0.0,0.0,0.0,0.0,0.0,0.00040646712940148067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036531808153128655,5.145234739551782e-05
bloodstone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026488816348532356,0.0,0.0,0.0,0.002651285250578793,0.0,0.0021040538963965757,0.0027399406779754234,0.0006762774306536018
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010621353824543582,0.0,0.0,0.0,0.0010998939532909802,0.0,0.0,0.0011450739933782119,0.00022047355527490334
ink,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000556255148626441,0.0,0.0,0.0,0.0,0.0,0.0,0.0005976793022083646,7.692896338898704e-05
emerald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024192423389389072,0.0,0.0,0.0,0.0,0.0,0.0,0.00019418028762665154,2.907363476803615e-05
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004467487730911087,0.0,0.0,0.0,0.0,0.0,0.0,0.0003761724433548039,5.486141442972751e-05
