,all,relation,bird,mammal,no-cat,animal,food,object,female,communication,fish,criminal,measure,mean,median
hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hermit,0.003271128145047507,0.0,0.0,0.0,0.0,0.0,0.0,0.003300142250957924,0.0,0.0,0.0,0.0,0.0,0.0005054823381542638,0.0
grandpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
father,0.00937435825226339,0.0,0.0,0.0,0.0,0.0,0.0,0.009368935273825579,0.0,0.0,0.0,0.0,0.0,0.0014417918096991515,0.0
valet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
genius,0.000694602136846491,0.0,0.0,0.0,0.0,0.0,0.0,0.0006966948309574377,0.0,0.0,0.0,0.0,0.0,0.0001070228436772253,0.0
dancer,0.0035224199694985307,0.0,0.0,0.0,0.0,0.0,0.0,0.00353570161748095,0.0,0.0,0.0,0.0,0.0,0.0005429324297676524,0.0
fisherman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
millionaire,0.0004267245577153432,0.0,0.0,0.0,0.0,0.0,0.0,0.0004161473577012752,0.0,0.0,0.0,0.0,0.0,6.483630118589372e-05,0.0
stepfather,0.012965485741376865,0.0,0.0,0.0,0.011848637313879922,0.0,0.0,0.012952047528055547,0.0,0.0,0.0,0.0,0.0,0.002905090044870179,0.0
hitchhiker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
novice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
settler,0.01414151832639669,0.0,0.0,0.0,0.0,0.0,0.0,0.014282469485206796,0.0,0.0,0.0,0.0,0.0,0.0021864606008925756,0.0
baby,0.020305936620917366,0.0,0.0,0.0,0.0,0.018878397748392645,0.0,0.020588285386673483,0.023759743701631794,0.0,0.0,0.0,0.0,0.006425566419816561,0.0
murderer,0.0028954863919815987,0.0,0.0,0.0,0.0,0.0,0.0,0.0029261093428202207,0.0,0.0,0.0,0.004497559555191307,0.0,0.0007937811761533174,0.0
bondsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kinsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
christ,0.00041137655698205377,0.0,0.0,0.0,0.0,0.0,0.0,0.00041519185146069175,0.0,0.0,0.0,0.0,0.0,6.358218526482658e-05,0.0
boy,0.01131926646784339,0.0,0.0,0.0,0.011322220088633574,0.0,0.0,0.011384628919056209,0.0,0.0,0.0,0.0,0.0,0.002617393498117936,0.0
emperor,0.0008861393751448943,0.0,0.0,0.0,0.0013278748397885798,0.0009077270248244306,0.001847899221901148,0.000876602086672948,0.0,0.0,0.0,0.0,0.0,0.0004497109652563077,0.0
nationalist,0.00010335913491235489,0.0,0.0,0.0,0.0,0.0,0.0,0.00010404343115299114,0.0,0.0,0.0,0.0,0.0,1.5954043543488155e-05,0.0
employer,0.0029835644446956086,0.0,0.0,0.0,0.0,0.0,0.0,0.002995076580911076,0.0,0.0,0.0,0.0,0.0,0.0004598954635082065,0.0
docent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sculptor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
junior,0.002766197457292787,0.0,0.0,0.0,0.0,0.0,0.0,0.002770573557016846,0.0,0.0,0.0,0.0,0.0,0.0004259054626392025,0.0
choirmaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bull,0.0009834314695651074,0.0,0.0,0.000942784229589082,0.0010867499971078459,0.0009865877636674185,0.0,0.0009945191909381849,0.0,0.0010314091713739006,0.0,0.0,0.0,0.0004634986017108876,0.0002317493008554438
grandfather,0.002238743374974308,0.0,0.0,0.0,0.0,0.0,0.0,0.002243150302785674,0.0,0.0,0.0,0.0,0.0,0.00034476105213538327,0.0
diplomat,0.0002523632261158419,0.0,0.0,0.0,0.0,0.0,0.0,0.0002529102931828578,0.0,0.0,0.0,0.0,0.0,3.886719379220766e-05,0.0
monk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sophomore,0.0037415023212602934,0.0,0.0,0.0,0.0,0.0,0.0,0.003767606613573042,0.0,0.0,0.0,0.0,0.0,0.0005776237642179489,0.0
actor,0.0012515854275580477,0.0,0.0,0.0,0.0,0.0,0.0,0.0012527881825700822,0.0,0.0,0.0,0.0,0.0,0.00019264412385601,0.0
baritone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hijacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
man,0.010516666157493722,0.0,0.0,0.008707097662225842,0.010187872187364595,0.00935253997245877,0.0,0.010527204466722354,0.0,0.0,0.0,0.0,0.0,0.003791644649712714,0.0
godson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waiter,0.001911425696891321,0.0,0.0,0.0,0.0,0.0,0.0,0.0019212086124223817,0.0,0.0,0.0,0.0,0.0,0.0002948180237933618,0.0
cook,0.0007532394302649706,0.0,0.0,0.0,0.0,0.0,0.0,0.0007561832795571485,0.0,0.0,0.0,0.0,0.0,0.00011610943921708609,0.0
tenor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,9.382128310692295e-05,0.0,0.0,8.288307821244364e-05,0.0,8.74269320163755e-05,0.0,9.408491041366681e-05,0.0,0.0,0.0,0.0,0.0,2.7555092596108376e-05,0.0
surveyor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grandson,0.0027995502519929374,0.0,0.0,0.0,0.0,0.0,0.0,0.00283194325675011,0.0,0.0,0.0,0.0,0.0,0.0004331918083648498,0.0
sir,0.00017076866520379096,0.0,0.0,0.0,0.000206151363684857,0.0,0.0,0.0001720578333332473,0.0,0.0,0.0,0.0,0.0,4.222906632476118e-05,0.0
husband,0.02452165095312255,0.0,0.0,0.0,0.0,0.0,0.0,0.024477587897574805,0.0,0.0,0.0,0.0,0.0,0.0037691722192844117,0.0
philosopher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
superman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
imposter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.003373091786302496,0.0,0.004444563007862274,0.0,0.0,0.002902001017396932,0.0,0.003394868048016933,0.0,0.0,0.0,0.0,0.0,0.0010857326045829719,0.0
adventurer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stallion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chairman,7.2645322114418e-05,0.0,0.0,0.0,0.0,0.0,0.0,7.305670750454795e-05,0.0,0.0,0.0,0.0,0.0,1.1207848432228151e-05,0.0
manager,0.0005841865643004534,0.0,0.0,0.0,0.0,0.0,0.0,0.0005890109376355437,0.0,0.0,0.0,0.0,0.0,9.024596168738439e-05,0.0
headmaster,0.0032698455368576082,0.0,0.0,0.0,0.0,0.0,0.0,0.003290948089547655,0.0,0.0,0.0,0.0,0.0,0.0005046764328004049,0.0
patriarch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram,0.00018102656734298673,0.0,0.0,0.0002009865184008721,0.0002997147977327365,0.00020698992591543073,0.0,0.0001798629441025028,0.0,0.0,0.0,0.0,0.0,8.219851949957914e-05,0.0
