,all,relation,bird,animal,food,plant,object,female,fruit,blue,communication,vegetable,fish,vehicle,measure,mean,median
slug,0.002747031731274092,0.0034267071864025477,0.0,0.0024144386611053364,0.0034754967686364954,0.0,0.002685494407214127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003906804203077452,0.0012437315305140033,0.0
rooster,0.0038966666960253893,0.0,0.0028495627416066844,0.0024422419375635276,0.0,0.0,0.0027730703313627704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007974361137705582,0.0
flea,0.0010742451881471976,0.0,0.0,0.0008944866996204191,0.0,0.0,0.0010443875182705774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020087462706921296,0.0
lizard,0.02003546149382526,0.0,0.0,0.018001482201812278,0.0,0.0,0.019543957341854205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003838726735832783,0.0
rice,3.3364424151393215e-05,0.0,0.0,0.0,4.24789315779677e-05,3.964180843565572e-05,3.189616292576241e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.825421806051936e-06,0.0
cannon,0.0007384443851167256,0.0,0.0,0.0,0.0,0.0,0.0007262006404583051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.764300170500205e-05,0.0
caterpillar,0.011280808691907292,0.0,0.0,0.008812898396113215,0.0,0.0,0.010600188469955082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002046259703865039,0.0
avocado,0.0037748685189413216,0.0,0.0,0.0,0.005408114038404944,0.004912060786898561,0.0036623257771059444,0.0,0.0062240798903234005,0.0,0.0,0.0,0.0,0.0,0.0,0.0015987632674449447,0.0
nectarine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortoise,0.0016364639662768113,0.0,0.0,0.0013233326737993256,0.0,0.0,0.0016101947936570098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003046660955822098,0.0
fir,0.013138010039163888,0.014523506407193935,0.0,0.0,0.0,0.013221869907431974,0.012578503300380177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003564125976944665,0.0
beet,0.001286030914776353,0.0,0.0,0.0,0.0017233620748639414,0.0018148836324057436,0.001254700953252873,0.0,0.0,0.0,0.0,0.0014984182621753301,0.0,0.0,0.0,0.0005051597224982828,0.0
lark,0.02585275601828052,0.0,0.018971246945382818,0.017824159750934418,0.0,0.0,0.025466426242109697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005874305930447163,0.0
