context,evidence_type,categories
season,u,fruit
parties,u,fruit
stage,u,fruit
reference,u,fruit
types,u,fruit
oven,u,fruit
there,u,fruit
did,u,fruit
ca,u,fruit
course,u,fruit
first,u,fruit
find,u,fruit
substitute,u,fruit
works,u,fruit
opportunity,u,fruit
why,u,fruit
southern,u,fruit
gets,u,fruit
sized,NA,fruit
vines,NA,fruit
capital,NA,fruit
pronounced,NA,fruit
garden,NA,fruit
like,NA,fruit
felt,NA,fruit
cups,NA,fruit
family,NA,fruit
beneath,NA,fruit
pickers,NA,fruit
smaller,NA,fruit
cans,NA,fruit
dubbed,NA,fruit
ocean,NA,fruit
removed,NA,fruit
am,NA,fruit
lighter,NA,fruit
them,NA,fruit
softer,NA,fruit
council,NA,fruit
played,NA,fruit
pure,NA,fruit
once,NA,fruit
known,NA,fruit
pasta,NA,fruit
floor,NA,fruit
style,NA,fruit
traces,NA,fruit
pin,NA,fruit
stones,NA,fruit
noticed,NA,fruit
age,NA,fruit
mind,NA,fruit
kind,NA,fruit
pipe,NA,fruit
figure,NA,fruit
street,NA,fruit
serves,NA,fruit
held,NA,fruit
her,NA,fruit
placed,NA,fruit
few,NA,fruit
appreciate,NA,fruit
origins,NA,fruit
blues,NA,fruit
cases,NA,fruit
elementary,NA,fruit
65,NA,fruit
scored,NA,fruit
scene,NA,fruit
wow,NA,fruit
gathered,NA,fruit
meals,NA,fruit
admit,NA,fruit
mcdonald,NA,fruit
museum,NA,fruit
shook,NA,fruit
buttons,NA,fruit
anymore,NA,fruit
preference,NA,fruit
state,NA,fruit
stopped,NA,fruit
process,NA,fruit
village,NA,fruit
seen,NA,fruit
seemed,NA,fruit
waters,NA,fruit
briefly,NA,fruit
decorative,NA,fruit
delivers,NA,fruit
trick,NA,fruit
living,NA,fruit
pungent,NA,fruit
tables,NA,fruit
certain,NA,fruit
cedar,NA,fruit
careful,NA,fruit
workers,NA,fruit
sturdy,NA,fruit
facility,NA,fruit
exported,NA,fruit
office,NA,fruit
ranges,NA,fruit
regarded,NA,fruit
125,NA,fruit
locals,NA,fruit
backdrop,NA,fruit
ruled,NA,fruit
park,NA,fruit
tucked,NA,fruit
forest,NA,fruit
mrs,NA,fruit
lovers,NA,fruit
distinctive,NA,fruit
book,NA,fruit
left,NA,fruit
poured,NA,fruit
allowed,NA,fruit
character,NA,fruit
knows,NA,fruit
james,NA,fruit
burgundy,NA,fruit
single,NA,fruit
boxes,NA,fruit
inspired,NA,fruit
pound,NA,fruit
got,NA,fruit
bagels,NA,fruit
girl,NA,fruit
premium,NA,fruit
renowned,NA,fruit
flavorful,NA,fruit
put,NA,fruit
table,NA,fruit
owner,NA,fruit
lee,NA,fruit
extension,NA,fruit
special,NA,fruit
potent,NA,fruit
bucket,NA,fruit
importance,NA,fruit
doubt,NA,fruit
saved,NA,fruit
focuses,NA,fruit
angeles,NA,fruit
vast,NA,fruit
university,NA,fruit
passing,NA,fruit
readily,NA,fruit
radio,NA,fruit
vary,NA,fruit
1950s,NA,fruit
surrounding,NA,fruit
offered,NA,fruit
collar,NA,fruit
jones,NA,fruit
town,NA,fruit
near,NA,fruit
sitting,NA,fruit
specialty,NA,fruit
old,NA,fruit
the,NA,fruit
small,NA,fruit
ll,NA,fruit
starting,NA,fruit
began,NA,fruit
exactly,NA,fruit
he,NA,fruit
can,NA,fruit
tiny,NA,fruit
harvesting,NA,fruit
many,NA,fruit
traditional,NA,fruit
union,NA,fruit
children,NA,fruit
jefferson,NA,fruit
too,NA,fruit
calls,NA,fruit
recommend,NA,fruit
famous,NA,fruit
introducing,NA,fruit
standing,NA,fruit
tone,NA,fruit
burgers,NA,fruit
beef,NA,fruit
road,NA,fruit
air,NA,fruit
two,NA,fruit
line,NA,fruit
when,NA,fruit
drain,NA,fruit
reddish,NA,fruit
american,NA,fruit
see,NA,fruit
day,NA,fruit
produced,NA,fruit
40,NA,fruit
smell,NA,fruit
turn,NA,fruit
my,NA,fruit
just,NA,fruit
instead,NA,fruit
heart,NA,fruit
linking,NA,fruit
mandate,NA,fruit
clay,NA,fruit
involved,NA,fruit
merely,NA,fruit
indigo,NA,fruit
check,NA,fruit
promised,NA,fruit
existing,NA,fruit
hands,NA,fruit
readers,NA,fruit
force,NA,fruit
writer,NA,fruit
wave,NA,fruit
sought,NA,fruit
credit,NA,fruit
holds,NA,fruit
universe,NA,fruit
taiwan,NA,fruit
drawn,NA,fruit
dropping,NA,fruit
letters,NA,fruit
wide,NA,fruit
arrived,NA,fruit
pond,NA,fruit
save,NA,fruit
study,NA,fruit
fairly,NA,fruit
general,NA,fruit
within,NA,fruit
attacking,NA,fruit
refined,NA,fruit
caused,NA,fruit
striking,NA,fruit
original,NA,fruit
washed,NA,fruit
dead,NA,fruit
loved,NA,fruit
bird,NA,fruit
believes,NA,fruit
head,NA,fruit
onto,NA,fruit
winding,NA,fruit
metal,NA,fruit
blocks,NA,fruit
volunteer,NA,fruit
people,NA,fruit
containers,NA,fruit
stands,NA,fruit
