,food,communication,plant,no-cat,all,mammal,relation,vegetable,bird,object,fruit,measure,animal,weapon,green,mean
potato,0.0015767907213868363,0.0,0.0014451912748145305,0.0,0.001534340232176077,0.0,0.0,0.0014411805325127106,0.0,0.0015205015998318156,0.0,0.0,0.0,0.0,0.0,0.000501200290714798
corn,0.0017875598170338722,0.0,0.0016810348890151368,0.0,0.0017918562371785636,0.0,0.001716639397931147,0.0,0.0,0.001786911641309625,0.00184553200703258,0.0,0.0,0.0,0.0,0.0007073022659667283
agenda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0,0.0,0.0,0.0,0.0007214659234883374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8097728232555825e-05
wand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
debate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
discussion,0.0,0.0,0.0,0.0,0.00025408540339568006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6939026893045338e-05
argument,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spider,0.0,0.002727504330838644,0.0,0.0,0.00154169070553999,0.0,0.0,0.0,0.0,0.00152086699914654,0.0,0.0,0.0022565353222625236,0.0,0.0,0.0005364398238525132
eucalyptus,0.0,0.0,0.011246317857553775,0.0,0.012544188850066652,0.0,0.012169061837469854,0.0,0.0,0.012299417972035914,0.0,0.0,0.0,0.0,0.0,0.0032172657678084127
weed,0.0,0.0,0.006210935062077584,0.0,0.007487236030324276,0.0,0.0,0.0,0.0,0.007033372903416689,0.0,0.0,0.0,0.0,0.0,0.0013821029330545699
pine,0.0,0.0,0.00491931641692996,0.0,0.005141609800574193,0.0,0.005144527248217901,0.0,0.0,0.004975087430710407,0.0,0.0,0.0,0.0,0.0,0.0013453693930954975
fir,0.0,0.0,0.0011655407310695357,0.0,0.0014140635499711332,0.0,0.00127929400539208,0.0,0.0,0.0012680489603588384,0.0,0.0,0.0,0.0,0.0,0.0003417964831194392
maize,0.0,0.0,0.0029314263379702408,0.0,0.002769065175325368,0.0,0.0,0.0,0.0,0.002728651910680495,0.0,0.0,0.0,0.0,0.0,0.0005619428949317403
elm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogwood,0.0,0.0,0.020738754851412904,0.0,0.031195869817297963,0.0,0.02063051184356762,0.0,0.0,0.020097105993481558,0.0,0.0,0.0,0.0,0.0,0.006177482833717337
willow,0.0,0.0,0.01252141187907634,0.0,0.01634627406573853,0.0,0.0,0.0,0.0,0.014854119027385102,0.0,0.0,0.0,0.0,0.0,0.0029147869981466647
fern,0.0,0.0,0.012505731115480066,0.0,0.01336118971469416,0.0,0.0,0.0,0.0,0.012591345839662803,0.0,0.0,0.0,0.0,0.0,0.002563884444655802
chive,0.0,0.0,0.10182672491044557,0.0,0.09016970320589662,0.0,0.0,0.0,0.0,0.08732368588779475,0.0,0.0,0.0,0.0,0.0,0.01862134093360913
sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub,0.0,0.0,0.06527707518043341,0.0,0.0783986512332243,0.0,0.0,0.0,0.0,0.0756116567071802,0.0,0.0,0.0,0.0,0.0,0.014619158874722529
buttercup,0.0,0.0,0.030623923025218408,0.0,0.042068589354834096,0.0,0.0,0.0,0.0,0.04073645340978609,0.0,0.0,0.0,0.0,0.0,0.007561931052655907
peanut,0.0,0.0,0.0001434354011868165,0.0,0.00013856763173868692,0.0,0.0,0.0,0.0,0.0001356204810889139,0.00016374737785679352,0.0,0.0,0.0,0.0,3.875805945808073e-05
walnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cassava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
galangal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iguana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tank,0.0,0.0,0.0,0.0007445949363597453,0.0005956768070390401,0.0,0.0,0.0,0.0,0.0005662163822107982,0.0,0.0006022070249130015,0.0,0.0,0.0,0.00016724634336817232
limousine,0.0,0.0,0.0,0.0011993118534115302,0.0010014803912102494,0.0,0.0,0.0,0.0,0.000924463421804641,0.0,0.0,0.0,0.0,0.0,0.00020835037776176138
tortoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0,0.0,0.006441247036042831,0.0,0.0,0.0,0.0,0.006159584953458657,0.0,0.006469683283466802,0.0,0.0,0.0,0.0012713676848645527
