,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dog,0.004370776067578708,0.0,0.0,0.0,0.004418967499930309,0.003415923282265186,0.0,0.0,0.0,0.0035154093253954933,0.0,0.0,0.0,0.0032673235142669137,0.0034632152626799546,0.0014967743301411045
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strawberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit,0.0,0.001173074990869857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011339337632955227,0.0,0.0,0.0,0.0,0.0011284725836412535,0.00022903208918710887
berry,0.0,0.0004264869197919757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046863990737409456,0.0,0.0,0.0,0.0004501384538366829,0.00048052635016516894,0.00012171944207786148
currant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blackberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.00037783561337501585,0.0003589966767185513,0.0,0.0,0.0,0.0,0.0,0.0,0.0003813393213211078,0.0,0.0,0.0,0.0003522106388398484,0.00037664592676584234,0.00012313521180135772
watermelon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cherry,0.0,0.001958132810529058,0.0019027210323564504,0.0,0.0,0.0,0.0,0.0016011407323650664,0.0,0.0017939371933656083,0.0,0.0,0.0,0.0018007044077594139,0.0017590627390201958,0.0007210465943597195
lentil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
melon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mango,0.0,0.0025444216458390735,0.0024450107476408516,0.0,0.0,0.0,0.0,0.0,0.0,0.0021929229097534106,0.0,0.0,0.0,0.002333773556285616,0.0021527252977529485,0.0007779236104847933
grape,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raspberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apricot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0,0.0010956771316700472,0.0009615160394220459,0.0,0.0,0.0,0.0,0.0,0.0,0.0007829148978207749,0.0,0.0,0.0,0.0009131291512205017,0.000786476215702414,0.0003026475623890523
banana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raisin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peanut,0.0,0.0009215979542262296,0.0008505687414445805,0.0,0.0,0.0,0.0,0.0,0.0,0.0006417447718774055,0.0,0.0,0.0,0.0,0.0006547000116004516,0.00020457409860991118
avocado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0,0.010060177609411773,0.009014420271575492,0.0,0.0,0.0,0.0,0.0,0.0,0.007186967992653363,0.0,0.0,0.0,0.008245266498687778,0.007204669137244922,0.0027807667673048885
coffee,0.0,0.0005036585705689793,0.0004390175986080004,0.0,0.0,0.0,0.0,0.0003626254878366624,0.0,0.00037993041885973694,0.0,0.0,0.0,0.0004121874713241166,0.0003820200528023402,0.0001652959733333224
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lime,0.0,0.04081241239219143,0.03683998197872821,0.0,0.0,0.0,0.0,0.03446323293332807,0.0,0.03448543053577353,0.0,0.0,0.0,0.03384297857107123,0.03469118845730162,0.014342348324559606
cabbage,0.0,0.0,0.002034160410127645,0.0,0.0,0.0,0.0016289146951049705,0.0,0.0,0.0019022141631831516,0.0,0.0,0.0,0.0019722185779708235,0.001905444143212546,0.0006295301326399424
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peony,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shallot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vine,0.0,0.0,0.0016827962091807978,0.0,0.0,0.0,0.0,0.0,0.0,0.0014132278089499328,0.0,0.0,0.0,0.0,0.001357988218239345,0.0002969341490913384
rhubarb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
allspice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepper,0.0,0.0,0.0014415179739295173,0.0018314051709388583,0.0,0.0,0.0,0.0,0.0,0.0014227045395400126,0.0,0.0,0.0,0.0014050747343622196,0.0013803265078772167,0.0004987352617765217
flower,0.0,0.0,0.0004982743925610231,0.0,0.0,0.0,0.00047731672207434854,0.0,0.0,0.000499704234733834,0.0,0.0,0.0,0.0,0.0004886427863929377,0.00013092920905080957
carnation,0.0,0.0,0.0031646642311179856,0.0,0.0,0.0,0.0,0.0,0.0,0.003261334506612656,0.0,0.0,0.0,0.0,0.003345719620899214,0.0006514478905753236
ginger,0.0,0.0,0.0021105783429704503,0.0,0.0,0.0,0.0,0.0,0.0,0.002143029080805719,0.0,0.0,0.0,0.0021655793236589754,0.0021293193021787115,0.0005699004033075905
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pansy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0015537388150687027,0.0,0.0,0.0,0.0,0.0,0.0,0.0013522233882893061,0.0,0.0,0.0,0.001518619667448671,0.001323000127210442,0.00038317213320114145
