,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
junk,0.0,0.0,0.0,0.0,0.0019560237631199235,0.0,0.0022482615839492476,0.0,0.0019146406565870389,0.0,0.0,0.0018456073937432658,0.0006637111164499563
interceptor,0.0,0.0,0.0,0.0,0.011054511879795661,0.0,0.0,0.0,0.01091271317741377,0.0,0.0,0.011890849863292932,0.002821506243375197
boat,0.0,0.0,0.0,0.0,0.007498780584037314,0.0,0.0,0.0,0.007379690180311099,0.0,0.0,0.007876217168488624,0.0018962239944030864
shell,0.0,0.0,0.0,0.0,0.002445043212622068,0.0,0.0031257936243264113,0.0,0.002393246042822,0.0,0.0,0.002375772859526252,0.0008616546449413943
saloon,0.0,0.0,0.0,0.0,0.003148325700761611,0.0,0.0,0.0,0.003099102804489933,0.0,0.0,0.0027629736798316555,0.0007508668487569333
ferry,0.0,0.0,0.0,0.0,0.0042418614155179946,0.0,0.0,0.0,0.004175554035797924,0.0,0.0,0.004308380781187188,0.001060483019375259
ship,0.0,0.0,0.0,0.0,0.008308901431802797,0.0,0.0,0.0,0.008231372724231491,0.0,0.0,0.008118097300261255,0.002054864288024629
cart,0.0,0.0,0.0,0.0,0.004093403470976153,0.0,0.0,0.0,0.004018190529381863,0.0,0.0,0.00395399045941613,0.0010054653716478456
jalopy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lorry,0.0,0.0,0.0,0.0,0.002861796786860723,0.0,0.0,0.0,0.0028148590223826984,0.0,0.0,0.003033410150543299,0.0007258388299822266
forklift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
