,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,mean
robin,0.0007897246106315691,0.0,0.0,0.0,0.0,0.0,0.0009955211065801946,0.0005505823654463267,0.0,0.0,0.0,0.0009955508503915605,0.0002776149110874709
pheasant,0.0059057164786257416,0.0,0.0,0.0,0.0,0.0,0.006607786397781026,0.0050361107978088866,0.0,0.0,0.005878154380743929,0.006611073350160814,0.0025032367837600333
woodpecker,0.020751171547360656,0.0,0.0,0.0,0.0,0.0,0.02390686552422384,0.020855867719715655,0.0,0.0,0.0,0.024047385911899925,0.007463440891933339
quail,0.008126150367161578,0.0,0.0,0.0,0.0,0.0,0.008875650477945687,0.00705464884249062,0.0,0.0,0.008278086079157447,0.008885523429233209,0.003435004932999045
puffin,0.010503142189276275,0.0,0.0,0.0,0.0,0.0,0.012226779176645839,0.009604297253876634,0.0,0.0,0.0,0.012254042468733036,0.0037156884240443153
whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seal,0.0003060675461693009,0.0,0.0,0.0,0.0,0.0,0.000369481583283635,0.0,0.0006570806343162521,0.0,0.0,0.0003829617879805538,0.00014296596264581183
titi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheepshead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
basset,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
razorback,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skimmer,0.006689980588674096,0.0,0.0,0.0,0.0,0.0,0.008460508110480054,0.00616706972604261,0.0,0.0,0.0,0.008811875459323656,0.002510786157043368
lemur,0.0018374898196531046,0.004348401887061407,0.0,0.0,0.0,0.0,0.0019970254671555754,0.0,0.0,0.0,0.0,0.002115180601045115,0.0008581748145762667
hog,0.0017693255332697382,0.0,0.0,0.0,0.0,0.0,0.0020801614507236356,0.0,0.0,0.0,0.0,0.0021759836636926263,0.0005021225539738333
chick,0.0013336189481738133,0.0,0.003616245328727197,0.0,0.0,0.0,0.0014116940472311042,0.0013086698604645153,0.0,0.0,0.0,0.0014657855457328945,0.0007613344775274604
bream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lizardfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
catfish,0.0004028551398476397,0.0,0.0,0.0,0.0,0.001136315236296037,0.0004539559016898702,0.0,0.0,0.0,0.0006925704417358345,0.00047194032999492685,0.0002631364207970257
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toadfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whistler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
