,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
grater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apron,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002541434824964297,0.0,0.0,0.0,0.0,0.0,0.0025425651606237228,0.0,0.0002990588226816482
stove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01721199451107048,0.0,0.0,0.0,0.0,0.0,0.017210061156134857,0.0,0.002024826803953255
sausage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04254063091252588,0.0,0.0,0.0,0.04325564455033235,0.05448879285950078,0.042594512252872155,0.0,0.010757622386778305
meat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07898542481423676,0.0,0.0,0.0,0.0,0.0927294478100099,0.07903606441886282,0.0,0.01475005512018291
microwave,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01469732610925068,0.0,0.0,0.0,0.0,0.0,0.01470685479058699,0.0,0.0017296576999904513
butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026617636571250627,0.0,0.0,0.0,0.0,0.029570167299209752,0.0266334316333076,0.0,0.004871837382574587
cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020757740682921966,0.0,0.0,0.0,0.0,0.020984423598101366,0.02077082655733516,0.0,0.003677234755197558
toaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007206960535886172,0.0,0.0,0.0,0.0,0.0,0.007209040353620811,0.0,0.0008480000523239402
flannel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
violin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010329364611040907,0.0,0.0,0.0,0.0,0.0,0.00010138545557290036,0.0,1.2039947157841732e-05
snip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bacon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03151693839960161,0.031438527431470104,0.0,0.0037032626959453948
pastry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043933732919681924,0.03915925845234773,0.0,0.004887823021884098
gravy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16585744969411445,0.13689953358186402,0.0,0.01780923431035167
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20971505449769864,0.17074014645518887,0.0,0.02237971770311103
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07185061787827654,0.05063514881539749,0.0,0.007205045099627884
flatbread,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06541581178376403,0.07351156685855054,0.0,0.008172198743665563
slaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02215442871619489,0.02191903893135187,0.0,0.002592556920443927
mayonnaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037910007929768536,0.027597330492144346,0.0,0.0038533728483478163
steak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11636995786580477,0.08945868793540732,0.0,0.012107567400071299
